iid,gender,pid,match,int_corr,samerace,age_o,race_o,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,race,imprace,imprelig,career,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,career_c
2,0,14,1,-0.21,1,23,2,1,9,9,9,9,9,9,9,7,2,24,law,1,,2,2,5,law,1,7,9,7,6,5,7,7,8,2,1
2,0,15,0,0.32,0,24,3,1,10,10,10,10,7,8,10,1,1,24,law,1,,2,2,5,law,0,6,8,7,9,7,8,8,6,1,1
2,0,16,0,0.73,1,25,2,1,7,8,7,5,7,7,7,5,2,24,law,1,,2,2,5,law,0,8,7,8,3,6,2,6,5,2,1
2,0,17,0,0.6,1,30,2,0,5,3,4,3,5,3,4,3,2,24,law,1,,2,2,5,law,1,7,5,9,6,7,9,8,7,2,1
2,0,18,0,0.07,1,27,2,1,7,7,7,7,7,5,7,6,2,24,law,1,,2,2,5,law,0,5,8,7,5,9,5,5,6,2,1
2,0,19,1,0.11,1,28,2,1,8,6,9,9,8,7,8,8,2,24,law,1,,2,2,5,law,1,7,6,8,9,4,5,5,6,2,1
2,0,20,0,0.39,1,24,2,0,6,5,7,7,9,7,6,9,2,24,law,1,,2,2,5,law,1,6,7,8,7,9,8,8,7,2,1
3,0,11,0,-0.24,1,27,2,0,7,8,6,5,8,4,5,2,1,25,Economics,2,,2,8,4,Economist,0,7,9,10,7,8,9,8,7,1,7
3,0,12,0,-0.14,1,22,2,0,6,7,10,6,6,5,7,3,2,25,Economics,2,,2,8,4,Economist,0,9,7,9,8,9,7,8,7,2,7
3,0,13,0,0.09,0,22,4,1,10,10,10,10,10,10,10,10,2,25,Economics,2,,2,8,4,Economist,0,7,9,9,7,9,7,8,7,2,7
3,0,14,0,-0.04,1,23,2,1,7,9,8,8,8,8,7,7,2,25,Economics,2,,2,8,4,Economist,0,9,7,9,7,9,7,8,7,2,7
3,0,15,0,-0.14,0,24,3,1,6,10,8,6,,,6,1,2,25,Economics,2,,2,8,4,Economist,0,9,10,10,10,10,10,9,,2,7
3,0,16,0,-0.3,1,25,2,1,7,6,6,6,6,6,6,7,2,25,Economics,2,,2,8,4,Economist,0,8,10,10,7,9,9,8,,2,7
3,0,17,0,-0.26,1,30,2,0,6,3,5,4,5,4,2,2,2,25,Economics,2,,2,8,4,Economist,0,8,9,10,7,7,9,8,7,2,7
3,0,18,0,0.29,1,27,2,0,4,5,6,4,6,4,5,1,2,25,Economics,2,,2,8,4,Economist,0,7,9,9,8,9,7,8,7,2,7
3,0,19,0,-0.15,1,28,2,1,7,7,6,8,7,7,7,7,2,25,Economics,2,,2,8,4,Economist,0,9,9,9,9,9,9,9,7,2,7
3,0,20,0,-0.47,1,24,2,0,5,6,8,5,8,6,5,5,2,25,Economics,2,,2,8,4,Economist,0,8,7,9,7,9,7,8,7,2,7
4,0,11,0,-0.18,1,27,2,0,6,7,8,7,7,5,6,3,2,23,Law,1,,2,1,1,lawyer/policy work,0,4,10,8,5,8,7,6,7,2,1
4,0,12,0,-0.18,1,22,2,0,6,5,10,6,6,5,6,3,1,23,Law,1,,2,1,1,lawyer/policy work,0,8,7,8,10,7,8,8,1,1,1
4,0,13,0,0.05,0,22,4,1,10,10,10,10,10,10,10,10,,23,Law,1,,2,1,1,lawyer/policy work,0,4,7,8,8,6,7,4,1,2,1
4,0,14,1,-0.18,1,23,2,1,7,7,7,9,9,9,8,10,1,23,Law,1,,2,1,1,lawyer/policy work,1,8,10,7,10,7,10,8,10,1,1
4,0,15,0,0.21,0,24,3,1,8,8,9,8,8,9,9,7,2,23,Law,1,,2,1,1,lawyer/policy work,0,6,9,8,9,8,9,7,7,2,1
4,0,16,0,0.37,1,25,2,1,6,6,7,7,8,7,6,6,2,23,Law,1,,2,1,1,lawyer/policy work,0,5,10,8,4,8,2,4,3,2,1
4,0,17,0,0.35,1,30,2,1,7,6,3,5,6,5,6,4,2,23,Law,1,,2,1,1,lawyer/policy work,0,7,10,10,7,10,5,5,1,2,1
4,0,18,0,0.15,1,27,2,0,6,7,8,6,6,5,7,7,2,23,Law,1,,2,1,1,lawyer/policy work,0,5,9,9,5,9,7,6,6,2,1
4,0,19,1,-0.47,1,28,2,1,7,7,7,10,9,10,8,8,2,23,Law,1,,2,1,1,lawyer/policy work,1,9,8,10,10,7,8,8,8,2,1
4,0,20,0,-0.19,1,24,2,0,7,8,8,7,8,7,7,7,2,23,Law,1,,2,1,1,lawyer/policy work,1,8,9,10,10,8,8,10,8,2,1
5,0,11,0,-0.43,1,27,2,0,6,8,8,8,7,6,6,5,2,21,Law,1,,2,8,1,lawyer,0,5,8,8,2,2,2,7,5,2,1
5,0,12,0,0,1,22,2,0,6,7,10,7,6,5,7,4,1,21,Law,1,,2,8,1,lawyer,0,8,6,6,5,5,5,6,4,1,1
5,0,13,0,-0.17,0,22,4,1,10,10,10,10,10,10,10,10,1,21,Law,1,,2,8,1,lawyer,0,4,6,8,8,6,5,6,5,1,1
5,0,14,1,0.08,1,23,2,1,6,8,6,8,10,10,7,7,1,21,Law,1,,2,8,1,lawyer,1,8,5,5,7,7,9,8,2,1,1
5,0,15,0,-0.16,0,24,3,0,5,9,9,7,9,5,5,7,2,21,Law,1,,2,8,1,lawyer,0,6,7,7,5,4,8,7,4,2,1
5,0,16,0,0.06,1,25,2,0,5,8,7,7,7,7,6,7,2,21,Law,1,,2,8,1,lawyer,1,5,6,7,5,7,8,7,3,2,1
5,0,17,0,-0.05,1,30,2,0,2,3,4,4,5,3,3,3,2,21,Law,1,,2,8,1,lawyer,1,6,6,8,5,5,6,6,3,2,1
5,0,18,0,0.07,1,27,2,0,5,5,6,5,5,5,6,5,2,21,Law,1,,2,8,1,lawyer,1,5,5,7,6,7,5,6,4,2,1
5,0,19,1,-0.13,1,28,2,1,5,9,9,9,9,6,7,7,2,21,Law,1,,2,8,1,lawyer,1,7,5,7,8,7,9,9,4,2,1
5,0,20,0,-0.06,1,24,2,0,3,10,7,7,10,5,4,10,2,21,Law,1,,2,8,1,lawyer,1,9,6,7,9,6,5,10,3,2,1
6,0,11,0,0.33,0,27,2,0,7,9,8,9,8,4,7,4,2,23,law,1,,4,1,1,lawyer,1,6,9,7,6,7,6,6,6,2,1
6,0,12,0,0.37,0,22,2,0,6,8,10,6,7,6,7,4,2,23,law,1,,4,1,1,lawyer,1,6,9,9,6,8,2,7,6,2,1
6,0,13,0,-0.51,1,22,4,1,10,10,10,10,10,10,10,10,1,23,law,1,,4,1,1,lawyer,0,4,7,9,4,3,2,6,2,1,1
6,0,14,1,0.12,0,23,2,1,6,8,8,7,9,8,7,7,2,23,law,1,,4,1,1,lawyer,1,8,6,7,8,2,8,9,4,2,1
6,0,15,0,0.35,0,24,3,1,9,7,9,7,9,6,9,2,1,23,law,1,,4,1,1,lawyer,0,5,4,8,8,4,2,4,3,1,1
6,0,16,0,0.19,0,25,2,1,6,6,8,8,8,7,6,6,2,23,law,1,,4,1,1,lawyer,0,3,7,6,1,1,1,2,2,2,1
6,0,17,0,0.47,0,30,2,0,5,6,8,4,5,4,3,3,2,23,law,1,,4,1,1,lawyer,1,8,8,8,8,3,4,8,7,2,1
6,0,18,0,0.03,0,27,2,0,6,7,8,7,8,5,7,6,2,23,law,1,,4,1,1,lawyer,0,4,8,9,2,8,3,5,5,2,1
6,0,19,1,0.46,0,28,2,1,6,7,7,6,6,6,6,6,2,23,law,1,,4,1,1,lawyer,1,7,6,8,8,6,9,9,6,2,1
6,0,20,0,0.43,0,24,2,0,7,10,10,6,10,7,6,7,2,23,law,1,,4,1,1,lawyer,1,8,9,9,9,10,7,9,8,2,1
7,0,11,0,0.19,0,27,2,0,7,8,8,8,7,7,7,4,2,22,Law,1,,4,2,4,Law,0,4,8,8,5,7,4,7,4,2,1
7,0,12,0,0.21,0,22,2,1,7,9,10,6,6,5,8,4,1,22,Law,1,,4,2,4,Law,0,6,6,8,4,9,4,7,3,1,1
7,0,13,0,0.52,1,22,4,1,10,10,10,10,10,10,10,10,,22,Law,1,,4,2,4,Law,0,3,6,8,7,8,8,7,8,1,1
7,0,14,1,-0.46,0,23,2,1,8,8,9,8,9,9,8,7,1,22,Law,1,,4,2,4,Law,1,7,8,8,7,7,6,8,6,1,1
7,0,15,0,-0.27,0,24,3,1,8,7,9,6,9,5,8,4,2,22,Law,1,,4,2,4,Law,0,4,7,7,4,8,5,5,6,1,1
7,0,16,0,0.59,0,25,2,1,8,8,8,6,6,6,7,7,2,22,Law,1,,4,2,4,Law,0,4,8,7,4,5,4,5,5,2,1
7,0,17,0,0.31,0,30,2,0,7,6,5,4,4,3,5,4,2,22,Law,1,,4,2,4,Law,1,7,7,8,7,7,7,8,7,2,1
7,0,18,0,0.08,0,27,2,1,8,7,6,7,7,5,7,5,2,22,Law,1,,4,2,4,Law,0,5,7,8,5,9,5,5,7,2,1
7,0,19,1,-0.34,0,28,2,1,9,7,9,9,9,10,9,9,2,22,Law,1,,4,2,4,Law,1,6,6,8,8,8,6,6,6,2,1
7,0,20,0,-0.16,0,24,2,0,7,6,8,6,8,7,7,7,2,22,Law,1,,4,2,4,Law,1,8,6,7,7,8,6,7,5,2,1
8,0,11,0,-0.03,1,27,2,0,8,7,6,6,6,5,7,4,2,25,Masters in Public Administration,13,,2,1,1,Journalist,1,5,8,7,4,7,5,4,5,2,6
8,0,12,1,-0.11,1,22,2,1,8,8,10,7,6,5,9,4,2,25,Masters in Public Administration,13,,2,1,1,Journalist,1,8,7,7,9,6,7,8,7,2,6
8,0,13,1,0.42,0,22,4,1,10,10,10,10,10,10,10,10,2,25,Masters in Public Administration,13,,2,1,1,Journalist,1,5,8,8,6,7,7,5,5,2,6
8,0,14,1,-0.4,1,23,2,1,8,8,8,8,8,7,8,7,2,25,Masters in Public Administration,13,,2,1,1,Journalist,1,8,6,5,6,6,5,5,6,2,6
8,0,15,1,-0.23,0,24,3,1,9,9,8,9,,7,9,7,2,25,Masters in Public Administration,13,,2,1,1,Journalist,1,6,8,8,5,6,7,6,5,2,6
8,0,16,1,0.28,1,25,2,1,8,7,7,7,8,7,7,6,2,25,Masters in Public Administration,13,,2,1,1,Journalist,1,6,8,8,5,6,7,6,5,2,6
8,0,17,0,0.05,1,30,2,0,6,4,7,5,6,4,4,4,2,25,Masters in Public Administration,13,,2,1,1,Journalist,1,6,7,8,5,7,7,6,6,2,6
8,0,18,1,0.17,1,27,2,1,9,8,8,8,7,5,7,5,2,25,Masters in Public Administration,13,,2,1,1,Journalist,1,5,6,7,4,5,6,5,4,2,6
8,0,19,1,-0.47,1,28,2,1,8,7,8,10,8,10,8,8,2,25,Masters in Public Administration,13,,2,1,1,Journalist,1,8,8,5,9,8,9,7,10,2,6
8,0,20,1,-0.21,1,24,2,1,8,10,9,9,8,8,8,8,2,25,Masters in Public Administration,13,,2,1,1,Journalist,1,7,6,8,7,9,8,8,7,2,6
9,0,11,0,0.19,0,27,2,0,6,8,7,8,7,5,6,4,2,26,Masters in Public Administration,13,,6,1,1,"Congresswoman, and comedian",1,8,10,9,8,7,6,5,5,2,9
9,0,12,1,0.03,0,22,2,1,8,8,10,7,6,5,8,4,2,26,Masters in Public Administration,13,,6,1,1,"Congresswoman, and comedian",1,10,10,10,10,10,10,10,5,2,9
9,0,13,1,0.68,0,22,4,1,10,10,10,10,10,10,10,10,2,26,Masters in Public Administration,13,,6,1,1,"Congresswoman, and comedian",1,5,10,10,6,6,6,8,5,2,9
9,0,14,1,-0.26,0,23,2,1,7,8,7,8,8,7,7,7,2,26,Masters in Public Administration,13,,6,1,1,"Congresswoman, and comedian",1,10,9,8,8,7,7,7,5,2,9
9,0,15,1,-0.01,0,24,3,1,7,9,8,9,7,7,7,8,2,26,Masters in Public Administration,13,,6,1,1,"Congresswoman, and comedian",1,5,10,8,8,5,5,5,5,2,9
9,0,16,1,0.42,0,25,2,1,6,6,7,8,7,7,6,5,2,26,Masters in Public Administration,13,,6,1,1,"Congresswoman, and comedian",1,8,9,9,7,6,5,6,5,2,9
9,0,17,1,0.21,0,30,2,1,8,6,7,8,6,5,8,4,2,26,Masters in Public Administration,13,,6,1,1,"Congresswoman, and comedian",1,6,8,9,6,6,6,7,5,2,9
9,0,18,0,0.1,0,27,2,0,7,7,7,7,6,5,7,5,2,26,Masters in Public Administration,13,,6,1,1,"Congresswoman, and comedian",1,6,7,8,7,9,6,7,5,2,9
9,0,19,1,-0.35,0,28,2,1,6,6,6,7,6,6,6,6,2,26,Masters in Public Administration,13,,6,1,1,"Congresswoman, and comedian",1,8,5,5,6,5,5,7,6,2,9
9,0,20,0,-0.23,0,24,2,0,5,6,6,6,6,6,6,6,2,26,Masters in Public Administration,13,,6,1,1,"Congresswoman, and comedian",1,7,8,7,8,7,8,8,5,2,9
10,0,11,0,0.3,1,27,2,0,7,8,7,8,6,5,6,3,2,26,Masters of Social Work&Education,13,,2,4,4,To create early childhood intervention programs,0,6,10,10,6,6,,6,3,2,9
10,0,12,0,0.65,1,22,2,0,1,1,1,1,1,1,1,1,2,26,Masters of Social Work&Education,13,,2,4,4,To create early childhood intervention programs,0,1,1,1,1,1,,1,1,1,9
10,0,13,1,-0.15,0,22,4,1,10,10,10,10,10,10,10,10,2,26,Masters of Social Work&Education,13,,2,4,4,To create early childhood intervention programs,1,6,10,10,10,6,,7,6,2,9
10,0,14,0,0.17,1,23,2,1,7,8,7,9,8,8,7,7,1,26,Masters of Social Work&Education,13,,2,4,4,To create early childhood intervention programs,0,10,10,10,10,10,,10,1,1,9
10,0,15,0,0.24,0,24,3,1,6,9,9,7,8,,6,6,2,26,Masters of Social Work&Education,13,,2,4,4,To create early childhood intervention programs,0,5,7,7,7,7,,6,1,2,9
10,0,16,0,0.15,1,25,2,0,,8,7,7,7,7,6,6,2,26,Masters of Social Work&Education,13,,2,4,4,To create early childhood intervention programs,0,5,10,6,4,6,,6,1,2,9
10,0,17,0,0.41,1,30,2,0,7,7,4,3,4,4,3,6,2,26,Masters of Social Work&Education,13,,2,4,4,To create early childhood intervention programs,1,5,10,8,6,9,,7,1,2,9
10,0,18,0,0.07,1,27,2,0,6,6,6,6,6,5,7,6,2,26,Masters of Social Work&Education,13,,2,4,4,To create early childhood intervention programs,0,5,6,6,4,5,,5,5,2,9
10,0,19,1,0.49,1,28,2,1,7,7,7,7,6,6,7,8,2,26,Masters of Social Work&Education,13,,2,4,4,To create early childhood intervention programs,1,9,9,9,9,9,9,9,9,2,9
10,0,20,0,0.08,1,24,2,0,6,6,6,6,6,6,7,7,2,26,Masters of Social Work&Education,13,,2,4,4,To create early childhood intervention programs,1,9,9,8,10,8,8,9,10,2,9
11,1,1,0,0.14,0,21,4,1,6,9,7,7,6,5,7,6,2,27,Finance,8,,2,7,3,"Academia, Research, Banking, Life",0,6,8,8,8,8,6,7,4,2,2
11,1,2,0,0.29,1,24,2,0,5,7,8,4,6,3,6,4,2,27,Finance,8,,2,7,3,"Academia, Research, Banking, Life",0,8,7,6,9,7,4,7,2,2,2
11,1,3,0,-0.24,1,25,2,0,7,9,10,7,8,9,8,7,1,27,Finance,8,,2,7,3,"Academia, Research, Banking, Life",0,7,8,6,5,8,4,5,2,1,2
11,1,4,0,-0.18,1,23,2,0,4,10,8,5,8,7,6,7,2,27,Finance,8,,2,7,3,"Academia, Research, Banking, Life",0,6,7,8,7,7,5,6,3,2,2
11,1,5,0,-0.43,1,21,2,0,5,8,8,2,2,2,7,5,2,27,Finance,8,,2,7,3,"Academia, Research, Banking, Life",0,6,8,8,8,7,6,6,5,2,2
11,1,6,0,0.33,0,23,4,1,6,9,7,6,7,6,6,6,2,27,Finance,8,,2,7,3,"Academia, Research, Banking, Life",0,7,9,8,9,8,4,7,4,2,2
11,1,7,0,0.19,0,22,4,0,4,8,8,5,7,4,7,4,2,27,Finance,8,,2,7,3,"Academia, Research, Banking, Life",0,7,8,8,8,7,7,7,4,2,2
11,1,8,0,-0.03,1,25,2,1,5,8,7,4,7,5,4,5,2,27,Finance,8,,2,7,3,"Academia, Research, Banking, Life",0,8,7,6,6,6,5,7,4,2,2
11,1,9,0,0.19,0,26,6,1,8,10,9,8,7,6,5,5,2,27,Finance,8,,2,7,3,"Academia, Research, Banking, Life",0,6,8,7,8,7,5,6,4,2,2
11,1,10,0,0.3,1,26,2,0,6,10,10,6,6,,6,3,2,27,Finance,8,,2,7,3,"Academia, Research, Banking, Life",0,7,8,7,8,6,5,6,3,2,2
12,1,1,0,0.54,0,21,4,1,7,8,7,8,5,6,7,5,1,22,Law,1,,2,1,1,Corporate Lawyer,0,7,8,10,7,7,5,8,4,2,1
12,1,2,0,0.18,1,24,2,0,8,5,6,6,9,6,7,3,2,22,Law,1,,2,1,1,Corporate Lawyer,0,7,6,10,6,6,5,8,4,2,1
12,1,3,0,-0.14,1,25,2,0,9,7,9,8,9,7,8,7,2,22,Law,1,,2,1,1,Corporate Lawyer,0,6,7,10,6,6,5,7,3,2,1
12,1,4,0,-0.18,1,23,2,0,8,7,8,10,7,8,8,1,1,22,Law,1,,2,1,1,Corporate Lawyer,0,6,5,10,6,6,5,6,3,1,1
12,1,5,0,0,1,21,2,0,8,6,6,5,5,5,6,4,1,22,Law,1,,2,1,1,Corporate Lawyer,0,6,7,10,7,6,5,7,4,1,1
12,1,6,0,0.37,0,23,4,1,6,9,9,6,8,2,7,6,2,22,Law,1,,2,1,1,Corporate Lawyer,0,6,8,10,6,7,6,7,4,2,1
12,1,7,0,0.21,0,22,4,0,6,6,8,4,9,4,7,3,1,22,Law,1,,2,1,1,Corporate Lawyer,1,7,9,10,6,6,5,8,4,1,1
12,1,8,1,-0.11,1,25,2,1,8,7,7,9,6,7,8,7,2,22,Law,1,,2,1,1,Corporate Lawyer,1,8,8,10,7,6,5,9,4,2,1
12,1,9,1,0.03,0,26,6,1,10,10,10,10,10,10,10,5,2,22,Law,1,,2,1,1,Corporate Lawyer,1,8,8,10,7,6,5,8,4,2,1
12,1,10,0,0.65,1,26,2,0,1,1,1,1,1,,1,1,1,22,Law,1,,2,1,1,Corporate Lawyer,0,1,1,1,1,1,1,1,1,2,1
13,1,1,1,0.16,1,21,4,1,5,8,9,8,5,7,7,,1,22,Law,1,,4,3,5,Lawyer,1,10,10,10,10,10,10,10,10,1,1
13,1,2,0,0.1,0,24,2,0,5,8,9,6,3,4,6,7,2,22,Law,1,,4,3,5,Lawyer,1,10,10,10,10,10,10,10,10,2,1
13,1,3,0,0.09,0,25,2,0,7,9,9,7,9,7,8,7,2,22,Law,1,,4,3,5,Lawyer,1,10,10,10,10,10,10,10,10,2,1
13,1,4,0,0.05,0,23,2,0,4,7,8,8,6,7,4,1,2,22,Law,1,,4,3,5,Lawyer,1,10,10,10,10,10,10,10,10,,1
13,1,5,0,-0.17,0,21,2,0,4,6,8,8,6,5,6,5,1,22,Law,1,,4,3,5,Lawyer,1,10,10,10,10,10,10,10,10,1,1
13,1,6,0,-0.51,1,23,4,0,4,7,9,4,3,2,6,2,1,22,Law,1,,4,3,5,Lawyer,1,10,10,10,10,10,10,10,10,1,1
13,1,7,0,0.52,1,22,4,0,3,6,8,7,8,8,7,8,1,22,Law,1,,4,3,5,Lawyer,1,10,10,10,10,10,10,10,10,,1
13,1,8,1,0.42,0,25,2,1,5,8,8,6,7,7,5,5,2,22,Law,1,,4,3,5,Lawyer,1,10,10,10,10,10,10,10,10,2,1
13,1,9,1,0.68,0,26,6,1,5,10,10,6,6,6,8,5,2,22,Law,1,,4,3,5,Lawyer,1,10,10,10,10,10,10,10,10,2,1
13,1,10,1,-0.15,0,26,2,1,6,10,10,10,6,,7,6,2,22,Law,1,,4,3,5,Lawyer,1,10,10,10,10,10,10,10,10,2,1
14,1,1,1,0.61,0,21,4,1,7,6,8,7,6,8,7,6,2,23,Law,1,,2,1,1,Corporate attorney,1,7,8,9,8,9,8,7,7,2,1
14,1,2,1,-0.21,1,24,2,1,7,9,7,6,5,7,7,8,2,23,Law,1,,2,1,1,Corporate attorney,1,9,9,9,9,9,9,9,7,2,1
14,1,3,0,-0.04,1,25,2,0,9,7,9,7,9,7,8,7,2,23,Law,1,,2,1,1,Corporate attorney,1,7,9,8,8,8,8,7,7,2,1
14,1,4,1,-0.18,1,23,2,1,8,10,7,10,7,10,8,10,1,23,Law,1,,2,1,1,Corporate attorney,1,7,7,7,9,9,9,8,10,1,1
14,1,5,1,0.08,1,21,2,1,8,5,5,7,7,9,8,2,1,23,Law,1,,2,1,1,Corporate attorney,1,6,8,6,8,10,10,7,7,1,1
14,1,6,1,0.12,0,23,4,1,8,6,7,8,2,8,9,4,2,23,Law,1,,2,1,1,Corporate attorney,1,6,8,8,7,9,8,7,7,2,1
14,1,7,1,-0.46,0,22,4,1,7,8,8,7,7,6,8,6,1,23,Law,1,,2,1,1,Corporate attorney,1,8,8,9,8,9,9,8,7,1,1
14,1,8,1,-0.4,1,25,2,1,8,6,5,6,6,5,5,6,2,23,Law,1,,2,1,1,Corporate attorney,1,8,8,8,8,8,7,8,7,2,1
14,1,9,1,-0.26,0,26,6,1,10,9,8,8,7,7,7,5,2,23,Law,1,,2,1,1,Corporate attorney,1,7,8,7,8,8,7,7,7,2,1
14,1,10,0,0.17,1,26,2,0,10,10,10,10,10,,10,1,1,23,Law,1,,2,1,1,Corporate attorney,1,7,8,7,9,8,8,7,7,1,1
15,1,1,1,0.21,0,21,4,1,5,6,7,7,6,6,6,6,2,24,Law,1,,3,3,1,Lawyer,1,8,7,9,6,9,7,8,6,2,1
15,1,2,0,0.32,0,24,2,0,6,8,7,9,7,8,8,6,1,24,Law,1,,3,3,1,Lawyer,1,10,10,10,10,7,8,10,1,1,1
15,1,3,0,-0.14,0,25,2,0,9,10,10,10,10,10,9,,2,24,Law,1,,3,3,1,Lawyer,1,6,10,8,6,,,6,1,2,1
15,1,4,0,0.21,0,23,2,0,6,9,8,9,8,9,7,7,2,24,Law,1,,3,3,1,Lawyer,1,8,8,9,8,8,9,9,7,2,1
15,1,5,0,-0.16,0,21,2,0,6,7,7,5,4,8,7,4,2,24,Law,1,,3,3,1,Lawyer,0,5,9,9,7,9,5,5,7,2,1
15,1,6,0,0.35,0,23,4,0,5,4,8,8,4,2,4,3,1,24,Law,1,,3,3,1,Lawyer,1,9,7,9,7,9,6,9,2,1,1
15,1,7,0,-0.27,0,22,4,0,4,7,7,4,8,5,5,6,1,24,Law,1,,3,3,1,Lawyer,1,8,7,9,6,9,5,8,4,2,1
15,1,8,1,-0.23,0,25,2,1,6,8,8,5,6,7,6,5,2,24,Law,1,,3,3,1,Lawyer,1,9,9,8,9,,7,9,7,2,1
15,1,9,1,-0.01,0,26,6,1,5,10,8,8,5,5,5,5,2,24,Law,1,,3,3,1,Lawyer,1,7,9,8,9,7,7,7,8,2,1
15,1,10,0,0.24,0,26,2,0,5,7,7,7,7,,6,1,2,24,Law,1,,3,3,1,Lawyer,1,6,9,9,7,8,,6,6,2,1
16,1,1,0,0.25,0,21,4,0,4,9,7,4,6,4,6,5,2,25,Business,8,,2,9,2,research/financial industry,1,7,7,8,8,7,7,7,6,2,7
16,1,2,0,0.73,1,24,2,0,8,7,8,3,6,2,6,5,2,25,Business,8,,2,9,2,research/financial industry,1,7,8,7,5,7,7,7,5,2,7
16,1,3,0,-0.3,1,25,2,0,8,10,10,7,9,9,8,,2,25,Business,8,,2,9,2,research/financial industry,1,7,6,6,6,6,6,6,7,2,7
16,1,4,0,0.37,1,23,2,0,5,10,8,4,8,2,4,3,2,25,Business,8,,2,9,2,research/financial industry,1,6,6,7,7,8,7,6,6,2,7
16,1,5,0,0.06,1,21,2,1,5,6,7,5,7,8,7,3,2,25,Business,8,,2,9,2,research/financial industry,0,5,8,7,7,7,7,6,7,2,7
16,1,6,0,0.19,0,23,4,0,3,7,6,1,1,1,2,2,2,25,Business,8,,2,9,2,research/financial industry,1,6,6,8,8,8,7,6,6,2,7
16,1,7,0,0.59,0,22,4,0,4,8,7,4,5,4,5,5,2,25,Business,8,,2,9,2,research/financial industry,1,8,8,8,6,6,6,7,7,2,7
16,1,8,1,0.28,1,25,2,1,6,8,8,5,6,7,6,5,2,25,Business,8,,2,9,2,research/financial industry,1,8,7,7,7,8,7,7,6,2,7
16,1,9,1,0.42,0,26,6,1,8,9,9,7,6,5,6,5,2,25,Business,8,,2,9,2,research/financial industry,1,6,6,7,8,7,7,6,5,2,7
16,1,10,0,0.15,1,26,2,0,5,10,6,4,6,,6,1,2,25,Business,8,,2,9,2,research/financial industry,0,,8,7,7,7,7,6,6,2,7
17,1,1,0,0.34,0,21,4,1,7,6,7,4,6,7,6,5,2,30,political science,13,,2,1,1,academics or journalism,0,3,6,7,5,8,7,2,1,2,2
17,1,2,0,0.6,1,24,2,1,7,5,9,6,7,9,8,7,2,30,political science,13,,2,1,1,academics or journalism,0,5,3,4,3,5,3,4,3,2,2
17,1,3,0,-0.26,1,25,2,0,8,9,10,7,7,9,8,7,2,30,political science,13,,2,1,1,academics or journalism,0,6,3,5,4,5,4,2,2,2,2
17,1,4,0,0.35,1,23,2,0,7,10,10,7,10,5,5,1,2,30,political science,13,,2,1,1,academics or journalism,1,7,6,3,5,6,5,6,4,2,2
17,1,5,0,-0.05,1,21,2,1,6,6,8,5,5,6,6,3,2,30,political science,13,,2,1,1,academics or journalism,0,2,3,4,4,5,3,3,3,2,2
